industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
sector inmobiliario,,,Venta Minorista,47.05882352941177,Servicios Públicos,43.24324324324324,Dispositivos Médicos,41.02564102564103,Hospitales y Atención Sanitaria,40.0,Productos Farmacéuticos,38.095238095238095
sector pecuario,,,Seguros,45.45454545454545,Educación Superior,42.42424242424242,Telecomunicaciones,42.42424242424242,Venta al por Mayor,42.42424242424242,Productos Farmacéuticos,42.10526315789474
sector pesquero,,,Reaseguros,48.0,Seguros,45.45454545454545,Desarrollo de Software,37.83783783783784,Servicios Profesionales,36.8421052631579,Venta al por Mayor,36.36363636363637
sector servicios al consumidor,,,Servicios Públicos,54.166666666666664,Servicios Profesionales,52.83018867924528,Consultoría de Gestión,42.30769230769231,Telecomunicaciones,41.666666666666664,Venta al por Mayor,41.666666666666664
sector solidario,,,Consultoría de Gestión,42.10526315789474,Telecomunicaciones,41.1764705882353,Petróleo y Gas,40.0,Dispositivos Médicos,38.888888888888886,Hospitales y Atención Sanitaria,38.297872340425535
securities brokerage,,,Servicios Profesionales,51.16279069767442,Reaseguros,46.666666666666664,Servicios Públicos,42.10526315789474,Telecomunicaciones,42.10526315789474,Consultoría de Gestión,38.095238095238095
securities&commodity exchanges,,,"Sanidad, Bienestar y Ejercicio",40.0,Hospitales y Atención Sanitaria,39.34426229508197,Logística y Cadena de Suministro,38.70967741935484,Productos Farmacéuticos,37.735849056603776,Servicios Profesionales,37.735849056603776
security & investigations,,,Banca de Inversión,41.86046511627907,Servicios Profesionales,41.666666666666664,Dispositivos Médicos,40.0,"Sanidad, Bienestar y Ejercicio",40.0,Venta Minorista,40.0
seguridad,,,Reaseguros,52.63157894736842,Seguros,50.0,Marketing y Publicidad,45.16129032258065,"Sanidad, Bienestar y Ejercicio",35.8974358974359,Consultoría de Gestión,32.25806451612904
seguridad de redes y sistemas informaticos,,,Servicios y Tecnologías de la Información,50.602409638554214,Logística y Cadena de Suministro,43.24324324324324,Productos Farmacéuticos,43.07692307692308,Hospitales y Atención Sanitaria,38.35616438356164,Servicios Profesionales,36.92307692307692
seguridad e investigacion,,,"Sanidad, Bienestar y Ejercicio",50.90909090909091,Marketing y Publicidad,42.5531914893617,Banca de Inversión,41.86046511627907,Telecomunicaciones,41.86046511627907,Servicios Profesionales,41.666666666666664
seguridad e investigaciones,,,"Sanidad, Bienestar y Ejercicio",49.12280701754386,Telecomunicaciones,44.44444444444444,Servicios Profesionales,44.0,Hospitales y Atención Sanitaria,41.37931034482759,Marketing y Publicidad,40.816326530612244
seguridad y soluciones urbanas,,,"Sanidad, Bienestar y Ejercicio",43.333333333333336,Hospitales y Atención Sanitaria,42.622950819672134,Telecomunicaciones,41.666666666666664,Envases y Embalajes,40.816326530612244,Logística y Cadena de Suministro,38.70967741935484
seguro,,,Seguros,76.92307692307692,Reaseguros,75.0,Petróleo y Gas,40.0,Servicios Públicos,33.33333333333333,Servicios Profesionales,27.58620689655173
seguros,,,Seguros,85.71428571428571,Reaseguros,82.35294117647058,Servicios Públicos,40.0,Petróleo y Gas,38.095238095238095,Servicios Profesionales,33.33333333333333
seguros medicos,,,Reaseguros,64.0,Seguros,54.54545454545455,Servicios Públicos,54.54545454545455,Productos Farmacéuticos,47.36842105263158,Servicios Profesionales,47.36842105263158
semiconductores,,,Productos Farmacéuticos,52.63157894736842,Telecomunicaciones,48.484848484848484,Consultoría de Gestión,43.24324324324324,Dispositivos Médicos,40.0,Reaseguros,40.0
semiconductors,,,Productos Farmacéuticos,54.054054054054056,Telecomunicaciones,43.75,Reaseguros,41.666666666666664,Dispositivos Médicos,41.1764705882353,Consultoría de Gestión,38.888888888888886
services,,,Servicios Públicos,53.84615384615385,Servicios Profesionales,45.16129032258065,Reaseguros,44.44444444444444,Seguros,40.0,Telecomunicaciones,38.46153846153846
servicio al consumidor,,,Servicios Públicos,60.0,Servicios Profesionales,53.333333333333336,Consultoría de Gestión,40.90909090909091,Educación Superior,40.0,Productos Farmacéuticos,40.0
servicio automotriz,,,Servicios Públicos,48.648648648648646,Servicios Profesionales,47.61904761904762,Productos Farmacéuticos,38.095238095238095,Educación Superior,37.83783783783784,"Sanidad, Bienestar y Ejercicio",36.734693877551024
servicio de aseo,,,Servicios Profesionales,56.41025641025641,Servicios Públicos,52.94117647058823,Banca de Inversión,47.05882352941177,Logística y Cadena de Suministro,45.833333333333336,Consultoría de Gestión,42.10526315789474
servicio de correo postal,,,Servicios Profesionales,58.333333333333336,Servicios Públicos,51.16279069767442,Desarrollo de Software,46.808510638297875,Logística y Cadena de Suministro,45.6140350877193,"Sanidad, Bienestar y Ejercicio",43.63636363636363
servicio de distribucion,,,Servicios Profesionales,55.319148936170215,Servicios Públicos,52.38095238095238,Educación Superior,47.61904761904762,Logística y Cadena de Suministro,46.42857142857143,Servicios y Tecnologías de la Información,46.15384615384615
